sentence,labels
katie’s plan to get into college was a house of cards on a crooked table.,0
he cast a net of words in garish colours wrought to catch the idle buzzers of the day.,0
the paparazzi circled like vultures above a tottering camel.,1
he had hidden his wealth heaped and hoarded and piled on high like sacks of wheat n a granary.,1
john’s answer to the problem was just a band-aid not a solution.,0
the daggers of heat pierced through his black t-shirt.,0
for she knows me! my heart clear as a crystal beam / to her alone ceases to be inscrutable.,1
food?  chris inquired popping out of his seat like a toaster strudel.,1
paul carried his science project to school like he was transporting explosive glass.,1
alan’s jokes were like flat soda to the children surprisingly unpleasant.,1
years heap their withered hours like leaves on our decay.,1
and the pipe begins to slide /,0
the water well was as dry as a bone.,1
waves of spam emails inundated his inbox.,0
the kids were monkeys on the jungle gym.,0
the children were roses grown in concrete gardens beautiful and forlorn.,0
and only to think that my soul could not react but turned on itself like a tortured snake.,1
the wheels of justice turn slowly.,0
the young athlete looked as strong as an ox.,1
john’s suggestion was just a band-aid.,0
he spit out his teeth like stones.,1
he clutched and hacked at ropes at rags of sail / thinking that comfort was a fairy tale,0
this pie is heaven!,0
the falling snowflakes are dancers.,0
my soul is lost and tossed like a ship unruddered in a shoreless sea.,1
he is a shining star. ,0
there are strange birds like blots against a sky.,1
arguing with her was like dueling with hand grenades.,1
the peaceful lake was a mirror.,0
then like a cold wave on a shore comes silence and she sings no more.,1
the dancer was a graceful eagle taking flight.,0
jamal was a pig at dinner.,0
the teenager’s stomach was a bottomless pit.,0
i am so excited. my pulse is a race car.,0
the robins are as thick today as flakes of snow were yesterday.,1
they walk in awful splendor regal yet wearing their crimes like rich and kingly capes.,1
the ice sculptor’s hands fluttered like hummingbird wings.,1
kisses are the flowers of love in bloom.,0
oh praise me not the silent folk; / to me they only seem / like leafless bird-abandoned oak.,1
and shout thy loud battle-cry cleaving the silence like a sword.,1
the field of cornflower yellow is a scarf at the neck of the copper sunburned woman,0
her hair was a flowing golden river streaming down her shoulders.,0
each blade of grass was a tiny bayonet pointed firmly at our bare feet.,0
it falls softly at his side.,0
men court not death when there are sweets still left in life to taste.,0
cassie talked to her son about girls as though she were giving him tax advice.,1
she hung her head like a dying flower.,1
her long hair was a flowing golden river.,0
each flame of the fire is a precious stone belonging to all who gaze upon it.,0
as in depths of many seas my heart was drowned in memories.,1
as i read it in the white morning sunlight the letters squirmed like snakes.,1
and dance as dust before the sun light of foot and unconfined.,1
her eyes were fireflies.,0
in winter when it rained he climbed into bed and felt as snug as a bug in a rug.,1
thy tones are silver melted into sound.,0
our soldiers are as brave as lions.,1
she swam through the waters like she was falling through a warm dream.,1
still sits the school-house by the road a ragged beggar sunning.,0
then i knew those tiny voices clear as drops of dew.,1
that child is a bear when he is sleepy.,0
think now: history has many cunning passages and contrived corridors.,0
you are soft as the nesting dove.,1
the cherry-trees are seas of bloom and soft perfume and sweet perfume.,0
the cast on michael’s broken leg was a plaster shackle.,0
till in little clouds of ashes,0
the diplomat said the friendship of the two countries was as deep as an ocean.,1
he wanted to set sail on the ocean of love but he just wasted away in the desert.,0
the stormy ocean was a raging bull.,0
the breath of her false mouth was like faint flowers / her touch was as electric poison.,1
the stars looked like stupid little fish.,1
when the tree branch broke millie fell from the limb like a robin’s egg.,1
the typical teenage boy’s room is a disaster area.,0
my dad is a road hog.,0
this song shall be thy rose soft fragrant and with no thorn left to wound thy bosom.,0
her angry words were bullets to him.,0
the wind was an angry witch.,0
the olden days: when thy smile to me was wine golden wine thy word of praise.,0
her lovely voice was music to his ears. ,0
when the examination finished the candidate felt as light as a feather.,1
they children ran like ripples through water.,1
kyle looked at the test with a stare as blank as his notebook.,1
and therefore i went forth with hope and fear into the wintry forest of our life.,0
words are the weapons with which we wound.,0
ben’s temper was a volcano ready to explode.,0
under us the brown earth / ancient and strong / the best bed for wanderers;,0
the lightning was fireworks in the sky.,0
the shingles on the shack shook in the storm winds like scared children.,1
the twigs were set beneath a veil of willows.,0
but the rare herb forgetfulness it hides away from me.,0
but into her face there came a flame; / i wonder could she have been thinking the same?,0
his cotton candy words did not appeal to her taste.,0
then as a hunted deer that could not flee i turned upon my thoughts and stood at bay wounded and weak and panting;,1
yes the doors are locked and the ashes are white as the frost.,1
i will sing a slumberous refrain and you shall murmur like a child appeased.,1
she looked at me like i was speaking in some strange alien tongue.,1
she let such beautiful pearls of wisdom slip from her mouth without even knowing.,0
donations for the popular charity were a tsunami.,0
laughter is the music of the soul.,0
she cut him down with her words.,0
but now her hands like moonlight brush the keys with velvet grace.,1
like winged stars the fire-flies flash and glance / pale in the open moonshine.,1
she is a peacock.,0
kelsey followed her dreams like most kids would follow a big sister.,1
mary’s eyes were fireflies.,0
grandpa lounged on the raft in the middle of the pool like an old battleship.,1
you are my sunshine.,0
the cabin windows have grown blank as eyeballs of the dead.,1
when the teacher entered the class the 6th-grade students were fighting like cats and dogs.,1
the clouds sailed across the sky.,0
her tears were a river flowing down her cheeks.,0
his opponent was trying to infuriate him but he remained as cool as cucumber.,1
her eyes are like the eyes of statues.,1
the detective listened to her tales with a wooden face.,0
toddlers are rug rats.,0
the moon is a white balloon.,0
gather up the undiscovered universe like jewels in a jasper cup.,1
maria is a chicken.,0
the bottle rolled off the table like a teardrop.,1
the clouds are balls of cotton.,0
death is like moonlight in a lofty wood that pours pale magic through the shadowy leaves.,1
she was fairly certain that life was a fashion show.,0
that lawn is a green carpet.,0
my heart swelled with a sea of tears.,0
each dollar bill was a like a magic wand to cast away problems.,1
my house of life is weather-stained with years.,0
men and women pass in the street glad of the shining sapphire weather.,0
the children were flowers grown in concrete gardens.,0
my teacher is a dragon.,0
the cast on his broken leg was a plaster shackle.,0
for the world’s events have rumbled on since those days like traffic.,1
the slide on the playground was a hot stove.,0
and the face of the waters that spread away / was as gray as the face of the dead.,1
blood seeped out of the wound like red teardrops.,1
dawn breaks open like a wound that bleeds afresh.,1
kisses are the flowers of affection.,0
she goes all so softly like a shadow on the hill a faint wind at twilight.,1
when the teacher leaves her little realm she breaks her wand of power apart.,0
whose world is but the trembling of a flare / and heaven but as the highway for a shell,0
he’s a rolling stone and it’s bred in the bone.,0
she was like a modest flower blown in sunny june and warm as sun at noon’s high hour.,1
i dream of silent verses where the rhyme glides noiseless as an oar.,1
the swan existing is a song with an accompaniment.,0
the town square was buzzing like a beehive.,1
there are thick woods where many a fountain rivulet and pond are as clear as elemental diamond.,1
that coach is an ogre.,0
sue’s room is a zoo with fish a gerbil and a parakeet.,0
kathy arrived at the grocery store with an army of children.,0
laugh a drink from the deep blue cup of sky.,0
the clouds like crowds of snowy-hued and white-robed maidens pass,1
i’m about as awesome as a flying giraffe.,1
the clouds were like ice-cream castles in the sky.,1
she went like snow in the springtime on a sunny hill.,1
david is a worm for what he did to shelia.,0
some days my thoughts are just cocoons hanging from dripping branches in the grey woods of my mind.,0
grind the gentle spirit of our meek reviews into a powdery foam of salt abuse.,0
the great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below on the faces that drift and blow.,0
life: a lighted window and a closed door.,0
are music to men who sail the main.,0
life is a rollercoaster.  ,0
the park was a lake after the rain.,0
and therefore i went forth with hope and fear / into the wintry forest of our life;,0
her cheeks are red like a rose.,1
you are my sunshine!,0
their home was a prison. ,0
laughter is the music of the soul.,0
scars are the roadmap to the soul.,0
he is as cunning as a fox.,1
the glow of the tube-light was as bright as sunshine.,1
the windflowers and the lilies were yellow striped as adder’s tongue.,1
life is the night with its dream-visions teeming / death is the waking at day.,0
the snow is a white blanket. ,0
the stars are sparkling diamonds.,0
his fine wit makes such a wound that the knife is lost in it.,0
the computer in the classroom was an old dinosaur.,0
hope shines–a pebble in the gloom.,0
the audience listened to his spellbinding speech as quietly as mice.,1
my words are chains of lead.,0
the student moved as fast as lightning after getting permission from the teacher for an early release.,1
the laborer remained busy at work all day long and slept like a log that night.,1
she feels that life is a fashion show.,0
so i sit spinning still round this decaying form the fine threads of rare and subtle thought.,0
the car was a furnace in the sun.,0
the detective’s face was wooden as he listened to her story.,0
o moon your light is failing and you are nothing now but a bow.,0
america is a melting pot.  ,0
the alligator’s teeth are white daggers.  ,0
if seen from above the factory the workers would have looked like clock parts.,1
fame is the fragrance of heroic deeds / of flowers of chivalry and not of weeds!,0
mikhail scattered his pocket change in front of the beggars like crumbs of bread.,1
leaf-strewing gales utter low wails like violins,1
the quarterback was throwing nothing but rockets and bombs in the field.,0
the handshake felt like warm laundry.,1
see the sun far off a shriveled orange in a sky gone black;,0
i was lost in a sea of nameless faces.,0
janie’s boyfriend appreciated her as an ape might appreciate an algebra book.,1
the desert traveler’s hopes were dashed as when at last he reached a well it was as dry as a bone.,1
the music burst like a bent-up flood.,1
from its blue vase the rose of evening drops.,0
pieces of silver and of gold / into the tinkling strong-box fell / like pebbles dropped into a well;,1
phyllis ah phyllis my life is a gray day,0
time is money.,0
three pines strained darkly runners in a race unseen by any.,0
the gray of the sea and the gray of the sky / a glimpse of the moon like a half-closed eye.,1
the evening stretches before me like a road.,1
barefooted ragged with neglected hair she was a thin slip of a girl like a new moon.,1
he is as funny as a monkey.,1
he kissed her as though he were trying to win a sword fight.,1
my dreams are flowers to which you are a bee.,0
our hearts though stout and brave still like muffled drums are beating funeral marches to the grave.,1
then the lips relax their tension,0
the hospital was a refrigerator.,0
the flowers were as soft as thoughts of budding love.,1
thank you so much. you are an angel.,0
his heart is a cold iron.,0
i would have hours that move like a glitter of dancers.,1
there one whose voice was venomed melody.,0
the road was a ribbon stretching across the desert.,0
her laughter was like a warm blanket or a familiar song.,1
my kid’s room is a disaster area.,0
the boys in the playing field were feeling as happy as dogs with two tails.,1
her hope was a fragile seed.,0
her teddy bear was her best friend never sharing her secrets.,0
the beggar on the road looked as blind as a bat.,1
he is a night owl.,0
blind fools of fate and slaves of circumstance / life is a fiddler and we all must dance.,0
books are keys to your imagination.,0
life is a dream in the night a fear among fears / a naked runner lost in a storm of spears.,0
in my heart’s temple i suspend to thee these votive wreaths of withered memory.,0
this world of life is a garden ravaged.,0
the job interview was a rope ladder dropped from heaven.,0
love is a guest that comes unbidden / but having come asserts his right;,0
the fishes skim like umber shades through the undulating weeds.,1
her hair was as soft as a spider web.,1
the ripples wimple on the rills like sparkling little lasses.,1
the ballerina was a swan gliding across the stage.,0
a sweetness seems to last amid the dregs of past sorrows.,0
terry was blue when his goldfish died.,0
the teacher planted the seeds of wisdom.,0
and swish of rope and ring of chain /,0
tom’s eyes were icy.,0
the moo cow’s tail is a piece of rope all raveled out where it grows.,0
